收书日期,印次出版日期,库区,书名,印次,单价,实收数量,码洋
1/9/2018,11/17/2015,WX,新课标单元测试卷 数学 六年级下册 新课标版（第3版）,3-1,18,0,0
1/9/2018,11/23/2015,WX,新课标单元测试卷 语文 六年级下册 新课标版（第3版）,3-1,18,0,0
1/9/2018,11/19/2015,WX,新课标单元测试卷 数学 三年级下册 北师大版（第3版）,3-1,18,0,0
1/9/2018,11/17/2015,WX,新课标单元测试卷 数学 三年级下册 新课标版（第3版）,3-1,18,0,0
1/9/2018,12/1/2015,WX,新课标单元测试卷 语文 三年级下册 北师大版（第3版）,3-1,18,0,0
1/9/2018,11/16/2015,WX,新课标单元测试卷 语文 三年级下册 新课标版（第3版）,3-1,18,0,0
1/9/2018,11/20/2015,WX,新课标单元测试卷 数学 四年级下册 北师大版（第3版）,3-1,18,0,0
1/9/2018,11/18/2015,WX,新课标单元测试卷 数学 四年级下册 新课标版（第3版）,3-1,18,0,0
1/9/2018,12/4/2015,WX,新课标单元测试卷 语文 四年级下册 北师大版（第3版）,3-1,22,0,0
1/9/2018,11/19/2015,WX,新课标单元测试卷 语文 四年级下册 新课标版（第3版）,3-1,18,0,0
1/9/2018,11/19/2015,WX,新课标单元测试卷 数学 五年级下册 北师大版（第3版）,3-1,18,0,0
1/9/2018,11/17/2015,WX,新课标单元测试卷 数学 五年级下册 新课标版（第3版）,3-1,18,0,0
1/9/2018,11/19/2015,WX,新课标单元测试卷 语文 五年级下册 北师大版（第3版）,3-1,18,0,0
1/9/2018,11/30/2015,WX,新课标单元测试卷 语文 五年级下册 新课标版（第3版）,3-1,18,0,0
1/9/2018,11/23/2015,WX,新课标单元测试卷 数学 一年级下册 北师大版（第3版）,3-1,18,0,0
1/9/2018,11/13/2015,WX,新课标单元测试卷 数学 一年级下册 新课标版（第3版）,3-1,18,0,0
1/9/2018,11/13/2015,WX,新课标单元测试卷 语文 一年级下册 北师大版（第3版）,3-1,18,0,0
1/9/2018,5/21/2015,WX,新课标单元测试卷 英语 九年级全一册 新课标版,3-1,29.8,0,0
1/9/2018,4/22/2016,WX,考点梳理检测卷 高考英语,1-1,58,0,0
1/10/2018,12/22/2017,WX,送审 广东专版 初中总复习优化设计 数学 北师大版（第3版）,3-2,23.29,3000,69870
1/10/2018,12/22/2017,WX,送审 广东专版 初中总复习优化设计 数学 北师大版（第3版）,3-2,23.29,7380,171880.2
1/10/2018,12/28/2017,WX,送审辽宁 课内课外直通车 生物 八年级下册 北师大版,1-2,13.83,11500,159045
1/10/2018,12/28/2017,WX,送审辽宁 课内课外直通车 生物 七年级下册 北师大版,1-2,13.83,12300,170109
1/10/2018,12/21/2017,WX,送审内蒙古 课堂精练 数学 八年级下册 北师大版 双色,1-6,13.81,60,828.6
1/10/2018,12/28/2017,WX,河南 寒假生活 英语 四年级 三年级起 北师大版,2-5,4.5,12590,56655
1/10/2018,12/28/2017,WX,河南 寒假生活 英语 六年级 三年级起 北师大版,2-4,4.5,11100,49950
1/10/2018,12/28/2017,WX,河南 寒假生活 英语 五年级 三年级起 北师大版,2-4,4.5,12090,54405
1/10/2018,12/28/2017,WX,河南 寒假生活 英语 三年级 三年级起 北师大版,2-6,4.5,12590,56655
1/10/2018,12/29/2017,WX,寒假生活 数学 四年级 新课标版,2-4,6,10860,65160
1/10/2018,12/29/2017,WX,寒假生活 数学 二年级 新课标版,2-5,6,12090,72540
1/10/2018,12/28/2017,WX,国标教材 语文写字本 五年级下册 北师大版（第2版）,2-3,10,4540,45400
1/10/2018,12/28/2017,WX,国标教材 语文写字本 六年级下册 北师大版（第2版）,2-3,10,3835,38350
1/10/2018,12/28/2017,WX,国标教材 语文写字本 三年级下册 北师大版（第2版）,2-3,7.5,5260,39450
1/10/2018,12/28/2017,WX,国标教材 语文写字本 四年级下册 北师大版（第2版）,2-3,8.5,4250,36125
1/10/2018,12/29/2017,WX,国标教材 数学 伴你成长 六年级下册 北师大版,4-4,17.5,4025,70437.5
