通知日期,书名,印次,定价,印单印数,总码洋
1/9/2018,甘肃 配套练习与检测 数学 一年级上册 北师大版 非免费,1-4,3.4,82607,280863.8
1/9/2018,甘肃 配套练习与检测 数学 八年级上册 北师大版 非免费,1-5,6.8,42027,285783.6
1/9/2018,甘肃 配套练习与检测 数学 九年级上册 北师大版 非免费,1-4,6.3,40922,257808.6
1/9/2018,甘肃 配套练习与检测 数学 七年级上册 北师大版 非免费,1-4A,6.1,41902,255602.2
1/9/2018,送审福建 新课程复习与提高 历史 九年级下册 北师大版,4-5,9.4,30000,282000
1/9/2018,送审广东 初中同步测控优化设计 生物 七年级下册 北师大版（第6版）,6-2,10.09,3000,30270
1/9/2018,送审 广东专版 初中总复习优化设计 生物 北师大版（第2版）,2-2,20.37,2000,40740
1/9/2018,送审安徽 课堂精练 历史 九年级下册 北师大版 双色（第2版）,2-3,10.98,55000,603900
1/30/2018,送审安徽 课堂精练 历史 九年级下册 北师大版 双色（第2版）,2-3,10.98,2000,21960
1/9/2018,送审 山西专版 课堂精练 历史 九年级下册 北师大版（第2版）,2-2,14.79,34000,502860
1/9/2018,送审 福建专版 小学同步测控优化设计 语文 六年级下册 北师大版（第2版）,2-2,6.6,71500,471900
1/31/2018,送审 福建专版 小学同步测控优化设计 语文 六年级下册 北师大版（第2版）,2-2,6.6,2000,13200
1/9/2018,送审 福建专版 小学同步测控优化设计 语文 五年级下册 北师大版（第2版）,2-2,6.6,76000,501600
1/31/2018,送审 福建专版 小学同步测控优化设计 语文 五年级下册 北师大版（第2版）,2-2,6.6,2000,13200
1/9/2018,送审陕西 小学同步测控优化设计 语文 六年级下册 北师大版（第4版）,4-2,8.09,20300,164227
1/9/2018,送审陕西 小学同步测控优化设计 语文 五年级下册 北师大版（第4版）,4-2,8.09,20300,164227
1/9/2018,送审江苏 课时同步学练测 历史 九年级下册 北师大版,2-5,10.4,13000,135200
1/9/2018,送审 辽宁 课内课外直通车 语文 三年级下册,1-2,10.86,280,3040.8
1/9/2018,送审黑龙江 大庆专版 课堂精练 历史 九年级下册 北师大版 双色（第2版）,2-2,13.48,17238,232368.24
1/9/2018,送审 课堂精练 高中历史 必修2（第2版）,2-1,11.12,9000,100080
1/9/2018,送审 课堂精练 高中历史 选修1（第2版）,2-1,11.12,4000,44480
1/9/2018,送审 课堂精练 高中历史 选修4（第2版）,2-1,10.68,3500,37380
1/9/2018,送审 河南专版 语文 伴你成长 五年级下册 北师大版（第2版）,2-2,12.8,40500,518400
1/9/2018,送审 河南专版 语文 伴你成长 六年级下册 北师大版（第2版）,2-2,12.8,41200,527360
1/9/2018,送审重庆 高中同步测控优化设计 生物 必修2 遗传与进化 北师大版 （第5版）,5-4,10.95,6000,65700
1/9/2018,送审重庆 高中同步测控优化设计 生物 必修3 稳态与环境 北师大版 （第5版）,5-4,10.65,2000,21300
1/9/2018,重庆 高中同步测控优化设计 生物 选修3 现代生物科技专题 北师大版 （第5版）,5-2,10.4,3000,31200
1/9/2018,送审重庆 高中同步测控优化设计 生物 必修1 分子与细胞 北师大版 （第5版）,5-4,12.2,550,6710
1/10/2018,送审湖北 课堂精练 生物 七年级下册 北师大版,2-5,7.7,36000,277200
1/16/2018,送审湖北 课堂精练 生物 七年级下册 北师大版,2-5,7.7,9000,69300
1/10/2018,送审湖北 课堂精练 生物 八年级下册 北师大版,2-5,7.7,31800,244860
1/10/2018,送审湖北 实验探究报告册 生物 七年级下册 北师大版,3-8,3.8,7200,27360
1/10/2018,送审湖北 实验探究报告册 生物 八年级下册 北师大版,4-7,3.35,6600,22110
1/16/2018,送审湖北 实验探究报告册 生物 八年级下册 北师大版,4-7,3.35,3500,11725
1/10/2018,重庆 数学 伴你学 七年级下册,2-5,7.3,11000,80300
1/10/2018,重庆 数学 伴你学 八年级下册,2-5,7.3,11000,80300
1/10/2018,重庆 数学 伴你学 九年级下册,2-4,7.3,11500,83950
1/10/2018,海淀名师伴你学 同步学练测 语文 二年级下册 北师大版（第3版）,3-1,8.5,17000,144500
1/10/2018,送审 重庆专版 生物 伴你学 七年级下册  北师大版,1-3,5.95,3200,19040
1/10/2018,送审 重庆专版 生物 伴你学 八年级下册  北师大版,1-3,4.6,3300,15180
1/10/2018,送审 重庆专版 生物学 活动手册 七年级下册 北师大版,1-3,3.75,11000,41250
1/10/2018,送审 重庆专版 生物学 活动手册 八年级下册 北师大版,1-3,4.15,11500,47725
1/10/2018,重庆专版 初中同步测控优化设计 数学 七年级下册 北师大版（第2版）,2-2,7.1,23000,163300
1/10/2018,重庆专版 初中同步测控优化设计 数学 八年级下册 北师大版（第2版）,2-2,7.1,23500,166850
1/10/2018,重庆专版 初中同步测控优化设计 数学 九年级下册 北师大版（第2版）,2-2,7.1,21500,152650
1/10/2018,送审 重庆专版 初中同步测控优化设计 生物 七年级下册 北师大版（第2版）,2-2,8.1,23000,186300
1/10/2018,送审 重庆专版 初中同步测控优化设计 生物 八年级下册 北师大版（第2版）,2-2,8.1,21500,174150
1/10/2018,送审 四川 课内课外直通车 语文 六年级下册,1-1,11.9,102000,1213800
1/10/2018,送审 四川 课内课外直通车 语文 五年级下册,1-1,11.9,114000,1356600
1/11/2018,四川 课内课外直通车 语文 一年级下册,1-1,14.5,30500,442250
1/19/2018,四川 课内课外直通车 语文 一年级下册,1-1,14.5,2000,29000
1/11/2018,送审 福建专版 初中同步测控优化设计 历史 九年级下册 北师大版,1-3,9.4,78200,735080
1/11/2018,送审湖北 实验探究报告册 物理 八年级下册 北师大版,3-6,4.25,23000,97750
1/11/2018,送审四川 课堂精练 语文 五年级下册 北师大版 双色,1-4,10.9,2000,21800
1/11/2018,送审四川 课堂精练 语文 六年级下册 北师大版 双色,1-4,11,2000,22000
1/11/2018,送审 辽宁 课内课外直通车 语文 五年级下册,1-2,12.16,280,3404.8
1/11/2018,送审 辽宁 课内课外直通车 语文 六年级下册,1-2,12.16,180,2188.8
1/11/2018,送审河南 专家伴读 新课程同步学案 物理 八年级下册 北师大版,4-3,14.75,36000,531000
1/11/2018,重庆 活动报告册 高中生物 选修3 现代生物科技专题 北师大版,2-9,2.9,3000,8700
1/11/2018,送审重庆 活动报告册 高中生物 必修2 遗传与进化 北师大版,3-8,2,3000,6000
1/11/2018,送审重庆 活动报告册 高中生物 必修3 稳态与环境 北师大版,3-7,4.25,3500,14875
1/11/2018,送审云南 课堂精练 数学 七年级下册 北师大版 双色,1-8,12.58,37800,475524
1/12/2018,送审 云南专版 新课标同步单元练习 数学 八年级下册  北师大版,1-3,16.66,4500,74970
1/12/2018,送审云南 课堂精练 数学 八年级下册 北师大版 双色,1-7,12.58,34800,437784
1/12/2018,送审 云南专版 新课标同步单元练习 数学  七年级下册  北师大版,1-3,16.66,4500,74970
1/12/2018,送审 云南专版 新课标同步单元练习 数学 九年级下册  北师大版,1-3,18.52,3000,55560
1/12/2018,送审 大庆专版 课堂精练 数学 七年级下册 北师大版(第2版),2-3,23.12,8891,205559.92
1/12/2018,送审 大庆专版 课堂精练 数学 九年级下册 北师大版(第2版),2-2,18.3,19792,362193.6
1/12/2018,送审云南 实验探究报告册 生物 七年级下册 北师大版,3-9,4.01,9800,39298
1/12/2018,送审云南 实验探究报告册 生物 八年级下册 北师大版,4-8,3.57,9000,32130
1/12/2018,送审云南 课堂精练 生物 七年级下册 北师大版 双色（第2版）,2-4,11.67,22300,260241
1/12/2018,送审云南 课堂精练 生物 八年级下册 北师大版 双色（第2版）,2-5,11.08,16000,177280
1/12/2018,送审 云南专版 新课标同步单元练习 生物 七年级下册  北师大版,1-3,13.58,4800,65184
1/12/2018,送审 云南专版 新课标同步单元练习 生物 八年级下册  北师大版,1-3,13.58,3000,40740
1/12/2018,小学同步测控优化设计 语文 二年级下册 北师大版（第5版）,5-1,10.8,16000,172800
1/12/2018,送审 陕西 初中同步测控优化设计 中国历史 八年级下册 北师大版,1-2,9.93,8000,79440
1/12/2018,送审 广东 初中同步测控优化设计 中国历史 八年级下册 北师大版,1-1,10.15,23000,233450
1/12/2018,送审 福建专版 初中同步测控优化设计 中国历史 八年级下册 北师大版,1-1,9.4,92000,864800
