通知日期,书名,印次,定价,印单印数,总码洋
3/23/2018,新高考 京师新考案 英语 RJ版,1-1,95.9,8000,767200
3/23/2018,新高考 京师新考案 语文,1-1,95.9,10000,959000
4/12/2018,新高考 京师新考案 语文,1-1,95.9,25000,2397500
3/27/2018,新高考 京师新考案 英语 北师大版,1-1,95.9,5000,479500
3/28/2018,新高考 京师新考卷 地理 全国卷地区专用,1-2,48.9,5000,244500
4/8/2018,小学数学思维训练——六年级活动课,1-1,28.8,5000,144000
4/8/2018,小学数学思维训练——四年级活动课,1-1,28.8,5000,144000
4/8/2018,小学数学思维训练——三年级活动课,1-1,28.8,5000,144000
4/8/2018,小学数学思维训练——五年级活动课,1-1,28.8,5000,144000
4/10/2018,新高考 京师好题天天练 历史,1-2,49.9,7000,349300
4/12/2018,新高考 京师新考案 生物,1-2,93.9,300,28170
4/12/2018,新高考 京师新考案 物理,1-2,93.9,150,14085
4/12/2018,新高考 京师新考案 文科数学,1-2,95.9,150,14385
4/12/2018,新高考 京师新考案 英语 WY版,1-2,95.9,75,7192.5
4/12/2018,新高考 京师新考案 英语 RJ版,1-2,95.9,180,17262
4/12/2018,新高考 京师新考案 语文,1-2,95.9,450,43155
4/12/2018,新高考 京师新考案 英语 北师大版,1-2,95.9,50,4795
4/12/2018,新高考 京师新考案  历史 RJ版,1-2,93.9,70,6573
4/12/2018,新高考 京师新考案 考点版 地理,1-3,93.9,150,14085
4/12/2018,新高考 京师新考案 政治,1-2,93.9,150,14085
4/13/2018,新高考 京师新考案 理科数学,1-2,95.9,225,21577.5
4/13/2018,新高考 京师新考案 化学,1-2,93.9,150,14085
